from,to,weight
Allmendinger,7,3
Allmendinger,8,3
Grothus,4,1
Grothus,8,2
Hasselfeldt,2,3
Hasselfeldt,10,1
Herntier,8,3
Kaiser,4,2
Kampeter,2,3
Kampeter,9,1
Kapferer,2,3
Kapferer,13,1
Kempf,2,3
Koerzel,3,2
Koerzel,11,1
Kreuzberg,8,3
Kreuzberg,9,2
Laemmel,9,2
Lenz,10,2
Matthes,7,2
Miersch,11,2
Nemat,5,3
Niebert,4,3
Niebert,7,1
Niebuhr,7,1
Platzeck,11,1
Pofalla,5,1
Pofalla,9,1
Praetorius,7,2
Priggen,12,1
Priggen,2,3
Priggen,8,3
Reiche,2,3
Reiche,9,1
Roestel,2,3
Roestel,9,1
Scheidt,3,2
Scheidt,11,1
Scheidt,6,2
Schellnhuber,7,3
Schweitzer,5,3
Schweitzer,6,3
Tillich,9,1
Vassiliadis,3,3
Vassiliadis,11,1
Wehrspohn,7,2
Weiger,4,3
Wodtke,9,1
Wodtke,4,1
Wodtke,8,2
